0		10.7243		40.342		1.95633e-16		1.63593e-16		1.45239e-17		2.95936e-17
0.032		11.662		40.2904		38.135		33.5045		30.5546		26.6492
0.064		11.8628		40.2789		19.8784		14.874		14.1966		9.19187
0.096		12.0028		40.2789		24.0654		21.1769		24.272		19.1004
0.128		12.1392		40.2732		23.5059		19.919		19.5058		15.862
0.16		12.2317		40.2675		23.6221		20.0603		19.1763		15.6024
0.192		12.2997		40.2675		23.6231		20.1046		19.1089		15.581
0.224		12.3642		40.2617		23.5879		20.1176		19.0822		15.5993
0.256		12.4125		40.256		23.5513		20.1217		19.0635		15.6252
0.288		12.4565		40.256		23.518		20.1255		19.0505		15.6473
0.32		12.4565		40.256		23.4919		20.1275		19.039		15.6666
0.352		12.4807		40.256		23.4702		20.1298		19.0313		15.6806
0.384		12.5011		40.2503		23.4545		20.1305		19.0241		15.6925
0.416		12.5211		40.2503		23.4415		20.1316		19.0198		15.7006
0.448		12.5251		40.2503		23.4323		20.1318		19.0157		15.7071
0.48		12.5251		40.2503		23.4249		20.132		19.0132		15.7118
0.512		12.5251		40.2503		23.4193		20.132		19.0111		15.7153
0.544		12.5251		40.2503		23.4153		20.1318		19.0096		15.7177
0.576		12.5251		40.2503		23.4121		20.1316		19.0085		15.7196
0.608		12.5251		40.2503		23.4098		20.1314		19.0077		15.7209
0.64		12.5451		40.2503		23.4078		20.1313		19.0073		15.7218
0.672		12.5451		40.2503		23.4068		20.131		19.0065		15.7227
0.704		12.5451		40.2503		23.405		20.1314		19.0069		15.7226
0.736		12.5451		40.2503		23.4054		20.1302		19.0056		15.7239
0.768		12.5451		40.2503		23.4036		20.1311		19.0065		15.7233
0.8		12.5451		40.2503		23.4044		20.1299		19.0053		15.7244
0.832		12.5451		40.2503		23.4035		20.1303		19.0057		15.7241
0.864		12.5451		40.2503		23.4032		20.1302		19.0056		15.7242
0.896		12.5451		40.2503		23.4031		20.1301		19.0056		15.7242
0.928		12.5451		40.2503		23.4026		20.1303		19.0057		15.7242
0.96		12.5451		40.2503		23.4031		20.1297		19.0054		15.7244
0.992		12.5451		40.2503		23.4024		20.1303		19.0056		15.7243
1.024		12.5451		40.2503		23.4029		20.1297		19.0054		15.7245
1.056		12.5451		40.2503		23.4019		20.1306		19.006		15.7239
1.088		12.5451		40.2503		23.4028		20.1291		19.0047		15.7247
1.12		12.5451		40.2503		23.4022		20.1296		19.0053		15.7243
1.152		12.5451		40.2503		23.4022		20.1297		19.0053		15.7244
1.184		12.5451		40.2503		23.4023		20.1297		19.0053		15.7243
1.216		12.5451		40.2503		23.4019		20.1299		19.0055		15.7243
1.248		12.5451		40.2503		23.4024		20.1294		19.0053		15.7246
1.28		12.5451		40.2503		23.4019		20.1299		19.0055		15.7243
1.312		12.5451		40.2503		23.4025		20.1295		19.0053		15.7246
1.344		12.5451		40.2503		23.402		20.13		19.0055		15.7243
1.376		12.5451		40.2503		23.4025		20.1295		19.0053		15.7246
1.408		12.5451		40.2503		23.402		20.13		19.0056		15.7243
1.44		12.5451		40.2503		23.4023		20.1298		19.0054		15.7244
1.472		12.5451		40.2503		23.4025		20.1295		19.0053		15.7246
1.504		12.5451		40.2503		23.402		20.13		19.0056		15.7243
1.536		12.5451		40.2503		23.4025		20.1295		19.0053		15.7246
1.568		12.5451		40.2503		23.402		20.13		19.0056		15.7243
1.6		12.5451		40.2503		23.4025		20.1295		19.0053		15.7246
1.632		12.5451		40.2503		23.402		20.13		19.0056		15.7243
1.664		12.5451		40.2503		23.4026		20.1295		19.0053		15.7246
1.696		12.5451		40.2503		23.402		20.13		19.0056		15.7243
1.728		12.5451		40.2503		23.4023		20.1298		19.0055		15.7244
1.76		12.5451		40.2503		23.4023		20.1298		19.0054		15.7245
1.792		12.5451		40.2503		23.4023		20.1298		19.0054		15.7245
1.824		12.5451		40.2503		23.4029		20.1292		19.0049		15.725
